Unnamed: 0,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error,word_key
512,images,422,540,126,31,2,485.0,555.5,0.0214979195561719,0.0663157894736842,0,da6be0e3-3cd7-440f-9499-c6d35e06af9e
513,of,574,542,39,23,2,593.5,553.5,0.0159500693481276,0.0205263157894736,0,7c4d0eac-89f4-417d-94cf-5386dfac0fc5
514,Pluto,640,541,106,24,2,693.0,553.0,0.0166435506241331,0.0557894736842105,0,a062d8c8-0925-497e-ad00-9f85804aa39a
515,on,772,548,42,17,2,793.0,556.5,0.0117891816920943,0.0221052631578947,0,ab025c8d-0f49-4bfc-b837-3d613db414df
516,19,839,544,38,21,2,858.0,554.5,0.0145631067961165,0.02,0,dcc6be5d-d27b-48f8-8145-3e7a3191ee5f
517,March,902,541,110,24,2,957.0,553.0,0.0166435506241331,0.0578947368421052,0,f7f81d60-8d89-488c-85d5-a092840676eb
518,and,1036,541,64,24,2,1068.0,553.0,0.0166435506241331,0.0336842105263157,0,30aa31b0-9976-4c6d-9dba-00bc8aff0c1c
519,7,1125,544,16,21,2,1133.0,554.5,0.0145631067961165,0.0084210526315789,0,584b9259-79e9-4e1e-a645-1119e90f562e
520,April,1166,540,107,31,2,1219.5,555.5,0.0214979195561719,0.0563157894736842,0,c8c28235-5a02-41f7-8406-3fcdf8933a9f
521,"1915,",1301,544,99,25,2,1350.5,556.5,0.0173370319001386,0.0521052631578947,0,e33e8933-4afb-41cb-b2d7-b98ddbeaf7f6
522,but,1430,541,64,24,2,1462.0,553.0,0.0166435506241331,0.0336842105263157,0,4a41fbd3-8a75-459a-b687-50f1064cc857
523,they,1521,541,84,29,2,1563.0,555.5,0.0201109570041608,0.0442105263157894,0,b211d090-994e-4443-874f-a70c0cc744e3
524,were,1628,548,86,17,2,1671.0,556.5,0.0117891816920943,0.0452631578947368,0,1999a070-d30c-49f4-9f8c-0d1f61bbf523
525,not,1739,544,63,21,2,1770.5,554.5,0.0145631067961165,0.0331578947368421,0,0cc92535-09fc-40f3-b4f4-9c937af96939
526,recognized,2,630,218,31,2,111.0,645.5,0.0214979195561719,0.1147368421052631,0,d64031e4-70a0-4ef2-a301-9c7ed4390192
527,for,245,632,60,23,2,275.0,643.5,0.0159500693481276,0.031578947368421,0,bcc8ccab-4cb2-4fa2-b8fc-05592659ea43
