Unnamed: 0,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error,word_key
45,and,310,271,64,24,0,342.0,283.0,0.0166435506241331,0.0336842105263157,0,f1a96439-39fa-4190-9567-ce5eb03fa6de
46,Melvin,396,270,132,25,0,462.0,282.5,0.0173370319001386,0.0694736842105263,0,91e094f7-aa22-4ef6-96fd-1955231a227c
47,Dresher,551,271,150,24,0,626.0,283.0,0.0166435506241331,0.0789473684210526,0,331dd40a-d914-4c9d-9829-d81356af72d5
48,working,726,270,154,31,0,803.0,285.5,0.0214979195561719,0.0810526315789473,0,e42fe95c-69f0-462a-b6fb-edec2dd11071
49,at,904,274,40,21,0,924.0,284.5,0.0145631067961165,0.0210526315789473,0,42c56d35-a2c2-4bd2-b08c-6b4d221f9cef
50,RAND,969,274,86,21,0,1012.0,284.5,0.0145631067961165,0.0452631578947368,0,b3f734f8-4c33-4ea0-9d12-40349f961889
51,in,1082,270,40,25,0,1102.0,282.5,0.0173370319001386,0.0210526315789473,0,930e7d26-c145-4d61-a9d3-e30cb6549049
52,1950.,1147,274,99,21,0,1196.5,284.5,0.0145631067961165,0.0521052631578947,0,7a13d50c-4e61-4581-92ea-78ef9f4228d3
53,Albert,1276,271,130,24,0,1341.0,283.0,0.0166435506241331,0.0684210526315789,0,2a100a23-db93-4fe7-9cbf-2e4159b8b273
54,W.,1430,274,36,21,0,1448.0,284.5,0.0145631067961165,0.0189473684210526,0,0739187a-cb57-4c82-ac6a-086b2152887a
55,Tucker,1498,271,127,24,0,1561.5,283.0,0.0166435506241331,0.0668421052631579,0,ae93fa95-eee8-4fef-9366-b7eb308870a1
56,formalized,1653,270,217,25,0,1761.5,282.5,0.0173370319001386,0.1142105263157894,0,7acd0238-9591-4dcc-a039-34d86d349734
57,the,3,361,61,24,0,33.5,373.0,0.0166435506241331,0.0321052631578947,0,2dd34ed9-0ef3-40de-bbf6-d5591fbca7fa
58,game,90,368,84,23,0,132.0,379.5,0.0159500693481276,0.0442105263157894,0,35d22ac0-e56a-4bb0-9c0c-42a91a5b25df
59,with,198,360,88,25,0,242.0,372.5,0.0173370319001386,0.0463157894736842,0,494fc26f-10f9-4ffa-a733-62b15247e68d
60,prison,308,360,132,31,0,374.0,375.5,0.0214979195561719,0.0694736842105263,0,79cdde83-7941-44b7-b3c1-ce61d6c8e28f
61,sentence,465,364,171,21,0,550.5,374.5,0.0145631067961165,0.09,0,cdb30155-531d-40ed-96b3-6f36188720f7
62,rewards,662,361,150,24,0,737.0,373.0,0.0166435506241331,0.0789473684210526,0,ec5c3326-f94d-4a40-b3a2-412eaa90c839
63,and,838,361,64,24,0,870.0,373.0,0.0166435506241331,0.0336842105263157,0,365c4e5f-7a0b-4738-8c20-801ddf94c4e3
64,named,925,361,109,24,0,979.5,373.0,0.0166435506241331,0.0573684210526315,0,ff5296e6-361d-40c0-8dde-a832d5f2f9b6
65,"it,",1060,360,54,29,0,1087.0,374.5,0.0201109570041608,0.0284210526315789,0,d39b8668-248d-4baf-ad99-7d95f3593761
66,"""prisoner's",1149,360,235,31,0,1266.5,375.5,0.0214979195561719,0.1236842105263157,0,92cb3595-7ec7-410f-bd4f-8142db7db33f
67,"dilemma"",",1409,360,189,29,0,1503.5,374.5,0.0201109570041608,0.0994736842105263,0,438b7f25-7ba8-431a-a952-232276b77453
68,presenting,1628,360,220,31,0,1738.0,375.5,0.0214979195561719,0.1157894736842105,0,674c12c2-c08d-424a-b562-fc0cd83bd1be
69,it,4,450,38,25,0,23.0,462.5,0.0173370319001386,0.02,0,e76be519-83c4-44b1-ae9f-f5ca0dfa9b00
70,as,68,457,40,18,0,88.0,466.0,0.0124826629680998,0.0210526315789473,0,e0eec76d-741e-4ac6-87f2-9530bfbe6299
71,follows:,135,451,165,24,0,217.5,463.0,0.0166435506241331,0.0868421052631579,0,de8e8068-d91e-4463-8c26-8f2180d04d5f
72,two,333,454,61,21,0,363.5,464.5,0.0145631067961165,0.0321052631578947,0,db9523ca-d600-4b43-b019-fbff2bcd1058
73,members,418,451,152,24,0,494.0,463.0,0.0166435506241331,0.08,0,6a1a6d58-9fa6-4740-b772-6fd92251b217
74,of,596,452,39,23,0,615.5,463.5,0.0159500693481276,0.0205263157894736,0,d2125c49-d39b-4103-a857-bb4002de6aad
75,a,662,458,19,17,0,671.5,466.5,0.0117891816920943,0.01,0,d16fcefd-babc-40c8-8ea0-e124bb7be99e
76,criminal,706,450,171,25,0,791.5,462.5,0.0173370319001386,0.09,0,5ddfe303-1776-44a9-b8b7-3b66360f15fa
77,gang,904,458,86,23,0,947.0,469.5,0.0159500693481276,0.0452631578947368,0,60b601c8-a70b-4dc1-932c-99ab055dc39d
78,are,1014,458,62,17,0,1045.0,466.5,0.0117891816920943,0.0326315789473684,0,8a8d3f6e-9129-4ecf-858e-df510703a160
79,arrested,1102,451,174,24,0,1189.0,463.0,0.0166435506241331,0.091578947368421,0,00f931fb-d691-4cdc-b0c1-330248cb7d23
80,and,1300,451,64,24,0,1332.0,463.0,0.0166435506241331,0.0336842105263157,0,3550525f-8d7b-44cb-bfd1-cc4e053704cc
81,imprisoned.,1390,450,230,31,0,1505.0,465.5,0.0214979195561719,0.1210526315789473,0,00ff123f-1ee0-48fc-9723-794d0ad7ab20
82,Each,1652,451,86,24,0,1695.0,463.0,0.0166435506241331,0.0452631578947368,0,bb5cf0e7-1c48-4e84-88da-51bf7d821b7c
83,prisoner,0,540,173,31,0,86.5,555.5,0.0214979195561719,0.0910526315789473,0,82c02a87-9014-409c-ab0b-9dbae9e1805c
84,is,202,540,38,25,0,221.0,552.5,0.0173370319001386,0.02,0,db9eb495-71c4-4570-a16b-5fa3ed6d4278
85,in,268,540,40,25,0,288.0,552.5,0.0173370319001386,0.0210526315789473,0,d4eaafe6-7e78-4cfb-bab5-c9e66952297d
86,solitary,333,540,172,30,0,419.0,555.0,0.0208044382801664,0.0905263157894736,0,1749993e-3f7f-4589-a66c-8f1c90ebbf1b
87,confinement,530,540,238,25,0,649.0,552.5,0.0173370319001386,0.1252631578947368,0,5422d7dd-ea0d-489f-86ac-f3501befe594
