Unnamed: 0,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error,word_key
44,Wilfrid,572,270,154,25,0,649.0,282.5,0.0173370319001386,0.0810526315789473,0,721b0385-02b0-4aba-a563-8ec5abc5a646
45,"Voynich,",748,270,168,30,0,832.0,285.0,0.0208044382801664,0.0884210526315789,0,e62791ca-b24d-4ecb-b460-3ce4bcc11eb1
46,a,948,278,19,17,0,957.5,286.5,0.0117891816920943,0.01,0,9458aa4e-0627-4e6b-80b4-b8d67dacee18
47,Polish,992,270,130,25,0,1057.0,282.5,0.0173370319001386,0.0684210526315789,0,f2573544-0244-468f-a55c-126516114d5b
48,book,1144,271,87,24,0,1187.5,283.0,0.0166435506241331,0.0457894736842105,0,76317379-ae7b-4935-988f-eecd8ea3b3a3
49,dealer,1255,271,128,24,0,1319.0,283.0,0.0166435506241331,0.0673684210526315,0,ad5d81b2-a412-40fc-b71c-9382c4893b64
50,who,1408,271,64,24,0,1440.0,283.0,0.0166435506241331,0.0336842105263157,0,84d8d8e7-687a-4a88-b168-bd34bda7bc8d
51,purchased,1496,271,198,30,0,1595.0,286.0,0.0208044382801664,0.1042105263157894,0,3c8c7939-88b3-4bfc-9d63-324d3e56f6d1
52,it,1720,270,38,25,0,1739.0,282.5,0.0173370319001386,0.02,0,e7d3c900-de98-45a0-99ab-830c069e4040
53,in,1786,270,40,25,0,1806.0,282.5,0.0173370319001386,0.0210526315789473,0,33e05d30-dc24-4499-bbb5-21d6ca5cce95
54,1912.,3,364,99,21,0,52.5,374.5,0.0145631067961165,0.0521052631578947,0,69ea5a61-9070-4f9e-b679-75d46e5226eb
55,The,134,361,62,24,0,165.0,373.0,0.0166435506241331,0.0326315789473684,0,362b2a3d-fd0f-4684-a17a-6e29c17c19a3
56,Voynich,220,360,154,30,0,297.0,375.0,0.0208044382801664,0.0810526315789473,0,61b8697f-601e-4870-8ad1-cee4b3ae7b03
57,manuscript,396,360,218,31,0,505.0,375.5,0.0214979195561719,0.1147368421052631,0,81f95255-36f2-4b5b-beff-8a4754089625
58,has,639,361,63,24,0,670.5,373.0,0.0166435506241331,0.0331578947368421,0,d89e15b5-dd81-402a-9645-4642c733e9eb
59,been,726,361,88,24,0,770.0,373.0,0.0166435506241331,0.0463157894736842,0,83842b80-3a0a-4c30-aca0-a451bff12072
60,studied,839,360,151,25,0,914.5,372.5,0.0173370319001386,0.0794736842105263,0,c1d142d6-6148-4ffb-96e5-d31338eab264
61,by,1012,361,43,29,0,1033.5,375.5,0.0201109570041608,0.0226315789473684,0,ebe5c1e5-ed96-4260-b8c7-8dcd5814a3b7
62,many,1078,368,87,22,0,1121.5,379.0,0.015256588072122,0.0457894736842105,0,38a63f58-986c-498a-b12a-f114d7e62a00
63,professional,1188,360,261,31,0,1318.5,375.5,0.0214979195561719,0.1373684210526315,0,94598e9b-a427-463f-b1bf-ebd85880d585
64,and,1476,361,64,24,0,1508.0,373.0,0.0166435506241331,0.0336842105263157,0,552933e6-c53b-4270-be16-36ef9daa9457
65,amateur,1564,364,149,21,0,1638.5,374.5,0.0145631067961165,0.0784210526315789,0,e07455b1-ccbb-41c2-8f59-b08dbe257624
66,"cryptographers,",2,451,320,30,0,162.0,466.0,0.0208044382801664,0.1684210526315789,0,5f227f91-43d9-4b47-8d8c-21bdeed60e09
67,including,356,450,194,31,0,453.0,465.5,0.0214979195561719,0.1021052631578947,0,906fef98-942e-48ee-afef-078da6fab547
68,American,572,450,176,25,0,660.0,462.5,0.0173370319001386,0.0926315789473684,0,d4b30a9c-0441-4176-b260-053c5bd9bc61
69,and,772,451,64,24,0,804.0,463.0,0.0166435506241331,0.0336842105263157,0,a322bf33-e224-44da-a662-02408426b0ba
