words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,word_key
tenth-most-massive,729,270,391,25,0,924.5,282.5,0.0173370319001386,0.2057894736842105,69ab459a-b89f-420d-9395-31ad04f91d40
known,1145,271,109,24,0,1199.5,283.0,0.0166435506241331,0.0573684210526315,1a18f1c9-d669-4d6c-add9-9c173c8e8632
object,1278,270,128,31,0,1342.0,285.5,0.0214979195561719,0.0673684210526315,046a7b3c-e9e5-4e5a-85b4-7fe7e35fbbfd
directly,1431,270,174,30,0,1518.0,285.0,0.0208044382801664,0.091578947368421,df094df7-bb0f-423c-bc20-0a96438c7ed3
orbiting,1630,270,174,31,0,1717.0,285.5,0.0214979195561719,0.091578947368421,f92ae3eb-89ad-4067-adf2-3419c820488b
the,1829,271,61,24,0,1859.5,283.0,0.0166435506241331,0.0321052631578947,babe83ff-a611-49e2-a28b-352858eff0f2
Sun.,2,363,78,22,0,41.0,374.0,0.015256588072122,0.0410526315789473,68cb1b79-9507-4049-bf84-e88626476902
It,113,364,39,21,0,132.5,374.5,0.0145631067961165,0.0205263157894736,aecc70ef-bcae-435c-ba61-911451efac2f
is,180,360,38,25,0,199.0,372.5,0.0173370319001386,0.02,d9394982-ca98-4df7-b9b8-a974965ce591
the,245,361,61,24,0,275.5,373.0,0.0166435506241331,0.0321052631578947,38688b43-99f5-41e2-980a-609649a27f3c
largest,333,361,149,30,0,407.5,376.0,0.0208044382801664,0.0784210526315789,fcd62560-8609-49a2-91b8-12139eab6407
known,507,361,109,24,0,561.5,373.0,0.0166435506241331,0.0573684210526315,1230db26-d191-4bb0-aaa6-7a5587b582ec
trans-Neptunian,641,360,327,31,0,804.5,375.5,0.0214979195561719,0.1721052631578947,f34d5dc9-fd76-4247-9ec0-f8f8e4eea1e1
object,992,360,128,31,0,1056.0,375.5,0.0214979195561719,0.0673684210526315,7496d356-da31-412e-9d65-a1e776745567
by,1144,361,43,29,0,1165.5,375.5,0.0201109570041608,0.0226315789473684,36b5f5b8-b82c-481c-abe7-7c45b247f039
volume,1210,361,130,24,0,1275.0,373.0,0.0166435506241331,0.0684210526315789,9b21ef38-51d9-4aad-9b82-2b8ef13621d6
but,1364,361,64,24,0,1396.0,373.0,0.0166435506241331,0.0336842105263157,6a23df28-1517-4cc0-bf7d-22a79b7940ec
is,1456,360,38,25,0,1475.0,372.5,0.0173370319001386,0.02,d32f7f5d-4352-4e50-a670-ed30e8d14738
less,1521,361,83,24,0,1562.5,373.0,0.0166435506241331,0.0436842105263157,c170e1dc-736b-4bee-9be3-e7db5e5c4858
massive,1628,360,152,25,0,1704.0,372.5,0.0173370319001386,0.08,01b46f1c-353a-4a4d-850b-4edb3bef7a66
than,1807,361,85,24,0,1849.5,373.0,0.0166435506241331,0.0447368421052631,31c986b6-3a33-4d7a-9e81-3f142de73cc6
"Eris,",2,450,100,29,0,52.0,464.5,0.0201109570041608,0.0526315789473684,10a72543-944c-4d62-9477-904c454db28c
a,134,458,19,17,0,143.5,466.5,0.0117891816920943,0.01,0424e14d-8f23-468b-9b0b-0f2742df5f98
